City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Caravelas,BR,-17.7125,-39.2481,66.78,75,80,4.56,broken clouds
1,Alofi,NU,-19.0595,-169.9187,76.89,73,20,10.36,few clouds
2,Bethanien,NA,-26.502,17.1583,58.37,24,0,6.96,clear sky
3,Samarai,PG,-10.6167,150.6667,79.54,78,75,14.67,broken clouds
4,Hobart,AU,-42.8794,147.3294,45.27,88,75,1.01,broken clouds
5,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,14.97,light rain
6,Saint George,US,37.1041,-113.5841,104.38,18,20,4.0,few clouds
7,Kapaa,US,22.0752,-159.319,86.32,81,1,4.0,clear sky
8,Rochegda,RU,62.8,43.25,60.22,82,100,7.72,overcast clouds
9,Tra Vinh,VN,9.9347,106.3453,78.53,85,100,8.72,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,28.77,scattered clouds
11,Yellowknife,CA,62.456,-114.3525,90.28,23,75,13.8,smoke
12,Touros,BR,-5.1989,-35.4608,76.1,81,20,16.44,few clouds
13,Dikson,RU,73.5069,80.5464,50.81,81,84,8.34,broken clouds
14,Saint-Philippe,RE,-21.3585,55.7679,66.22,69,9,1.16,clear sky
15,Mar Del Plata,AR,-38.0023,-57.5575,53.13,50,0,8.99,clear sky
16,Broome,US,42.2506,-75.833,72.18,57,20,4.0,few clouds
17,Tonota,BW,-21.4833,27.4833,55.09,23,0,7.83,clear sky
18,Conceicao Do Castelo,BR,-20.3683,-41.2439,46.09,93,52,2.53,broken clouds
19,Tura,IN,25.5198,90.2201,73.8,98,100,3.56,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,48.47,91,100,2.71,overcast clouds
21,Vaini,TO,-21.2,-175.2,73.56,73,75,14.97,broken clouds
22,Lihula,EE,58.6814,23.8453,61.95,88,13,7.02,few clouds
23,Rio Grande,BR,-32.035,-52.0986,50.95,92,8,6.98,clear sky
24,Chokurdakh,RU,70.6333,147.9167,50.05,47,62,9.42,broken clouds
25,Rikitea,PF,-23.1203,-134.9692,69.08,54,79,20.42,broken clouds
26,Concepcion Del Uruguay,AR,-32.4825,-58.2372,54.86,70,0,4.14,clear sky
27,San Rafael,AR,-34.6177,-68.3301,59.22,27,0,11.12,clear sky
28,Richards Bay,ZA,-28.783,32.0377,64.15,82,96,4.5,light rain
29,Fontem,CM,5.4685,9.8818,66.11,97,100,0.83,light rain
30,Port Blair,IN,11.6667,92.75,81.21,82,99,22.03,overcast clouds
31,Bluff,NZ,-46.6,168.3333,48.79,65,79,8.88,broken clouds
32,Saint-Pierre,RE,-21.3393,55.4781,66.29,61,0,8.05,clear sky
33,Izhma,RU,65.0083,53.9113,54.64,96,16,3.31,few clouds
34,Coihaique,CL,-45.5752,-72.0662,47.01,57,20,3.44,few clouds
35,East London,ZA,-33.0153,27.9116,59.45,80,50,18.05,scattered clouds
36,La Ronge,CA,55.1001,-105.2842,84.45,28,40,3.44,smoke
37,Frydlant,CZ,50.9214,15.0797,58.96,86,12,1.99,few clouds
38,Haines Junction,CA,60.7522,-137.5108,71.55,53,95,5.75,overcast clouds
39,Jamestown,US,42.097,-79.2353,72.72,52,75,1.99,broken clouds
40,Sitka,US,57.0531,-135.33,62.49,72,90,14.97,overcast clouds
41,Ponta Do Sol,PT,32.6667,-17.1,72.23,77,9,7.2,clear sky
42,Hami,CN,42.8,93.45,76.1,22,1,6.35,clear sky
43,Kodiak,US,57.79,-152.4072,56.71,77,90,6.91,overcast clouds
44,Lebu,CL,-37.6167,-73.65,52.45,78,17,20.4,few clouds
45,Farah,AF,32.5,62.5,78.3,16,0,4.68,clear sky
46,Lompoc,US,34.6391,-120.4579,92.01,65,1,13.8,clear sky
47,San Patricio,US,28.017,-97.5169,96.78,51,51,13.47,broken clouds
48,Airai,TL,-8.9266,125.4092,60.49,71,75,3.33,broken clouds
49,Esperance,AU,-33.8667,121.9,44.44,80,98,13.15,overcast clouds
50,Panukulan,PH,14.9333,121.8144,84.06,76,100,12.03,overcast clouds
51,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,75,11.5,broken clouds
52,Poddorye,RU,57.4695,31.1156,57.43,94,95,11.52,light rain
53,Ushuaia,AR,-54.8,-68.3,40.66,70,75,23.02,heavy intensity rain
54,Riohacha,CO,11.5444,-72.9072,78.17,90,100,4.43,overcast clouds
55,Yulara,AU,-25.2406,130.9889,35.44,75,0,8.05,clear sky
56,Sinnamary,GF,5.3833,-52.95,78.62,83,46,8.21,scattered clouds
57,New Norfolk,AU,-42.7826,147.0587,44.91,80,100,1.7,overcast clouds
58,Sukhumi,GE,43.0033,41.0153,71.46,90,89,4.76,overcast clouds
59,Valleyview,CA,55.0667,-117.2859,71.64,88,100,5.75,overcast clouds
60,Margate,GB,51.3813,1.3862,62.04,75,100,1.99,overcast clouds
61,Tiksi,RU,71.6872,128.8694,50.65,61,60,4.54,broken clouds
62,Salta,AR,-24.7859,-65.4117,59.59,42,0,1.99,clear sky
63,Cape Town,ZA,-33.9258,18.4232,57.11,94,0,4.61,mist
64,Paragominas,BR,-2.9667,-47.4833,76.59,54,22,3.33,few clouds
65,Smithers,CA,54.7804,-127.1743,84.52,34,20,4.61,few clouds
66,Isangel,VU,-19.55,169.2667,73.51,73,20,9.22,few clouds
67,Marsh Harbour,BS,26.5412,-77.0636,83.82,73,100,9.46,overcast clouds
68,Dasoguz,TM,41.8363,59.9666,78.75,41,0,9.22,clear sky
69,Punta Cardon,VE,11.6581,-70.215,82.2,72,39,31.59,scattered clouds
70,Mahebourg,MU,-20.4081,57.7,59.29,88,20,6.91,few clouds
71,Lorengau,PG,-2.0226,147.2712,82.51,80,22,9.37,few clouds
72,Katsuura,JP,35.1333,140.3,86.14,80,45,10.89,scattered clouds
73,Georgetown,MY,5.4112,100.3354,80.89,88,20,1.01,few clouds
74,Roebourne,AU,-20.7833,117.1333,58.39,28,6,17.74,clear sky
75,Nikolskoye,RU,59.7035,30.7861,62.78,98,100,13.62,light rain
76,Sakaiminato,JP,35.55,133.2333,80.58,83,75,4.61,broken clouds
77,Srednekolymsk,RU,67.45,153.6833,49.62,50,70,11.32,broken clouds
78,Gumla,IN,23.05,84.55,71.87,93,100,3.65,overcast clouds
79,Castro,BR,-24.7911,-50.0119,50.85,81,0,1.77,clear sky
80,Pevek,RU,69.7008,170.3133,35.44,81,90,19.22,overcast clouds
81,Tuatapere,NZ,-46.1333,167.6833,48.81,78,98,3.94,overcast clouds
82,Bilma,NE,18.6853,12.9164,94.64,14,12,11.36,few clouds
83,Lourdes,FR,43.1,-0.05,63.93,82,75,5.75,broken clouds
84,Loreto,MX,22.2667,-101.9667,79.43,30,97,13.27,overcast clouds
85,Chuy,UY,-33.6971,-53.4616,49.21,95,16,6.11,few clouds
86,Puerto Palomas,MX,31.7667,-107.6167,85.33,30,13,9.62,few clouds
87,Bredasdorp,ZA,-34.5322,20.0403,56.28,93,19,4.61,few clouds
88,Hamburg,DE,53.55,10.0,58.01,90,40,4.61,scattered clouds
89,Leh,IN,34.1667,77.5833,61.77,49,19,5.44,light rain
90,Srivardhan,IN,18.0333,73.0167,79.34,86,100,17.94,overcast clouds
91,Brae,GB,60.3964,-1.353,49.91,71,100,1.43,overcast clouds
92,Ribeira Grande,PT,38.5167,-28.7,73.33,92,54,7.16,broken clouds
93,Thompson,CA,55.7435,-97.8558,78.96,41,40,6.91,smoke
94,Vardo,NO,70.3705,31.1107,47.35,83,26,2.24,scattered clouds
95,Gueret,FR,46.1667,1.8667,57.83,96,47,3.36,scattered clouds
96,Faanui,PF,-16.4833,-151.75,79.03,76,65,15.39,broken clouds
97,Geraldton,AU,-28.7667,114.6,45.01,87,2,9.22,clear sky
98,Severo-Kurilsk,RU,50.6789,156.125,52.09,73,98,19.42,overcast clouds
99,Jishou,CN,28.3167,109.7167,78.03,87,0,2.91,clear sky
100,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.5,77,0,11.27,clear sky
101,Souillac,MU,-20.5167,57.5167,59.38,88,20,6.91,few clouds
102,Albany,US,42.6001,-73.9662,75.15,55,10,1.99,clear sky
103,Montepuez,MZ,-13.1256,38.9997,64.87,74,85,7.94,overcast clouds
104,Hermanus,ZA,-34.4187,19.2345,56.89,87,2,9.08,clear sky
105,Carnarvon,AU,-24.8667,113.6333,44.67,47,0,11.5,clear sky
106,Iqaluit,CA,63.7506,-68.5145,49.73,93,75,5.01,fog
107,Kruisfontein,ZA,-34.0033,24.7314,46.89,93,0,5.91,clear sky
108,Asau,RO,46.4333,26.4,65.32,94,19,3.4,light rain
109,Dabakala,CI,8.3667,-4.4333,76.55,71,98,2.08,overcast clouds
110,Kamina,CD,-8.7386,24.9906,59.95,39,41,0.85,scattered clouds
111,Birao,CF,10.2849,22.7882,70.88,95,81,4.29,broken clouds
112,Asfi,MA,32.2994,-9.2372,68.29,89,0,15.99,clear sky
113,Qaanaaq,GL,77.484,-69.3632,45.37,66,100,2.37,overcast clouds
114,Galesong,ID,-5.3166,119.3661,69.82,74,14,5.44,few clouds
115,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,57.22,45,2,6.24,clear sky
116,Dunda,TZ,-8.1167,34.25,58.3,72,5,2.15,clear sky
117,Wattegama,LK,6.7989,81.4808,76.15,68,100,5.1,overcast clouds
118,General Salgado,BR,-20.6483,-50.3606,66.87,45,4,4.59,clear sky
119,Atuona,PF,-9.8,-139.0333,77.67,76,18,19.69,few clouds
120,Kloulklubed,PW,7.0419,134.2556,79.3,79,60,12.35,broken clouds
121,Kimbe,PG,-5.5502,150.1429,81.28,79,62,3.58,light rain
122,Frolovo,RU,49.7713,43.6622,81.59,32,13,6.46,few clouds
123,San Cristobal,VE,7.7669,-72.225,78.98,96,100,5.41,overcast clouds
124,Rafaela,AR,-31.2503,-61.4867,57.06,40,0,7.72,clear sky
125,Camacha,PT,33.0833,-16.3333,69.22,73,40,10.36,scattered clouds
126,Zhuanghe,CN,39.7008,122.9911,73.99,89,32,4.88,scattered clouds
127,Saint-Augustin,CA,51.226,-58.6502,61.21,81,97,13.65,overcast clouds
128,Anito,PH,12.4497,125.2886,83.25,77,100,10.89,overcast clouds
129,Bambous Virieux,MU,-20.3428,57.7575,59.25,88,20,6.91,few clouds
130,Aklavik,CA,68.2191,-135.0107,64.4,72,75,9.22,broken clouds
131,Hithadhoo,MV,-0.6,73.0833,81.59,69,100,4.88,overcast clouds
132,Hasaki,JP,35.7333,140.8333,84.29,84,94,11.65,overcast clouds
133,Bowen,AU,-20.0167,148.2333,59.22,66,7,6.89,clear sky
134,Butaritari,KI,3.0707,172.7902,82.85,71,48,5.12,light rain
135,Barrow,US,71.2906,-156.7887,44.62,81,90,20.71,overcast clouds
136,Port Keats,AU,-14.25,129.55,77.29,77,78,4.79,broken clouds
137,Portage,US,41.1667,-81.1998,75.47,43,1,5.75,clear sky
138,Vestmannaeyjar,IS,63.4427,-20.2734,53.06,87,100,3.13,overcast clouds
139,Rawson,AR,-43.3002,-65.1023,58.6,33,44,10.02,scattered clouds
140,Belmonte,BR,-15.8631,-38.8828,70.3,74,66,8.63,broken clouds
141,Newport,GB,51.5877,-2.9984,57.92,88,73,7.14,broken clouds
142,Hilo,US,19.7297,-155.09,77.4,78,90,9.22,light rain
143,Busselton,AU,-33.65,115.3333,54.19,75,100,7.36,overcast clouds
144,Juba,SS,4.8517,31.5825,70.23,92,93,3.89,overcast clouds
145,Saldanha,ZA,-33.0117,17.9442,53.65,70,0,3.69,clear sky
146,Maniitsoq,GL,65.4167,-52.9,47.19,90,100,5.88,overcast clouds
147,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,77,0,10.36,clear sky
148,Mana,GF,5.6592,-53.7767,77.38,87,41,7.54,scattered clouds
149,Nsoko,SZ,-27.0333,31.95,62.1,86,56,2.77,broken clouds
150,Sharjah,AE,25.3573,55.4033,93.18,71,18,3.44,haze
151,Bengkulu,ID,-3.8004,102.2655,74.88,88,55,3.42,broken clouds
152,Narsaq,GL,60.9167,-46.05,53.82,94,92,6.46,overcast clouds
153,Coos Bay,US,43.3665,-124.2179,99.86,88,75,23.02,broken clouds
154,Hamilton,US,39.1834,-84.5333,78.24,53,40,1.99,scattered clouds
155,Grindavik,IS,63.8424,-22.4338,53.55,87,75,6.91,broken clouds
156,Lata,PT,40.1629,-8.3327,64.04,95,25,1.52,scattered clouds
157,Amuntai,ID,-2.4177,115.2494,73.72,98,100,1.12,overcast clouds
158,Lander,US,42.833,-108.7307,89.06,21,1,3.44,clear sky
159,Tabuk,PH,17.4189,121.4443,78.67,81,100,1.28,overcast clouds
160,Mao,ES,39.8885,4.2658,73.96,73,20,6.91,few clouds
161,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,87,90,9.22,light rain
162,Vila Velha,BR,-20.3297,-40.2925,72.97,78,0,0.0,clear sky
163,Muroto,JP,33.2833,134.15,78.84,68,68,2.26,broken clouds
164,Bedford,GB,52.1346,-0.4663,59.56,93,100,4.14,overcast clouds
165,Fortuna,US,40.5982,-124.1573,69.93,71,40,3.0,scattered clouds
166,Peniche,PT,39.3558,-9.3811,66.72,88,45,18.19,scattered clouds
167,Provideniya,RU,64.3833,-173.3,51.91,82,90,15.66,moderate rain
168,Kerema,PG,-7.9631,145.7785,76.32,89,100,1.9,overcast clouds
169,Yarmouth,US,41.7057,-70.2286,79.27,60,75,3.44,broken clouds
170,Lagoa,PT,39.05,-27.9833,72.01,92,5,4.81,clear sky
171,Yar-Sale,RU,66.8333,70.8333,54.95,93,98,5.12,overcast clouds
172,Bubaque,GW,11.2833,-15.8333,79.47,81,99,18.03,overcast clouds
173,Mitsamiouli,KM,-11.3847,43.2844,75.54,72,0,3.42,clear sky
174,Quatre Cocos,MU,-20.2078,57.7625,59.11,72,1,3.96,clear sky
175,Ilulissat,GL,69.2167,-51.1,57.22,47,75,5.75,broken clouds
176,Tasiilaq,GL,65.6145,-37.6368,46.56,82,100,2.53,overcast clouds
177,Peterhead,GB,57.5058,-1.7981,54.0,81,61,4.74,broken clouds
178,Codrington,AU,-38.2667,141.9667,46.81,87,98,10.25,overcast clouds
179,Yokote,JP,39.3,140.5667,78.96,80,94,2.13,overcast clouds
180,Eregli,TR,37.5133,34.0467,70.72,40,0,6.89,clear sky
181,Ereymentau,KZ,51.6199,73.1033,63.5,58,37,3.58,scattered clouds
182,Forestville,US,38.8451,-76.875,81.93,52,75,8.05,broken clouds
183,Upernavik,GL,72.7868,-56.1549,47.16,66,40,1.5,scattered clouds
184,Jefferson City,US,38.5767,-92.1735,82.31,39,20,8.99,few clouds
185,Zhovtneve,UA,50.6637,24.2492,56.07,93,15,6.4,few clouds
186,Bara,NG,10.3744,10.7288,73.9,89,80,6.15,broken clouds
187,Mae Sai,TH,20.4335,99.8762,74.52,100,100,1.21,overcast clouds
188,Grand Gaube,MU,-20.0064,57.6608,59.4,64,1,4.45,clear sky
189,Hofn,IS,64.2539,-15.2082,53.26,86,93,8.14,overcast clouds
190,Lazaro Cardenas,MX,17.9583,-102.2,85.95,72,14,8.63,few clouds
191,Ercis,TR,39.0287,43.3586,60.4,59,0,5.5,clear sky
192,Zeya,RU,53.75,127.2667,64.92,76,99,2.37,overcast clouds
193,Murgab,TM,37.4966,61.9714,80.47,24,0,9.22,clear sky
194,Zhigansk,RU,66.7697,123.3711,64.65,50,15,9.28,few clouds
195,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,69,9.6,broken clouds
196,Chapais,CA,49.7834,-74.8492,64.18,77,100,6.49,overcast clouds
197,Zvishavane,ZW,-20.3267,30.0665,55.11,33,0,2.06,clear sky
198,Vilhena,BR,-12.7406,-60.1458,80.82,36,0,9.22,clear sky
199,Avarua,CK,-21.2078,-159.775,80.65,74,90,12.66,moderate rain
200,Ontario,US,34.0633,-117.6509,111.74,18,1,3.0,clear sky
201,Ostrovnoy,RU,68.0531,39.5131,51.1,97,77,5.14,broken clouds
202,Tlaltenango,MX,19.1667,-98.3333,62.8,83,82,6.85,broken clouds
203,Kolpashevo,RU,58.3131,82.9089,55.26,90,100,3.27,overcast clouds
204,Yaan,NG,7.3833,8.5667,72.77,93,99,6.51,light rain
205,Beasain,ES,43.0502,-2.2009,63.54,95,50,0.85,scattered clouds
206,Kaeo,NZ,-35.1,173.7833,57.33,80,45,21.3,scattered clouds
207,Lago Da Pedra,BR,-4.3333,-45.1667,76.8,42,35,1.68,scattered clouds
208,Port Hueneme,US,34.1478,-119.1951,107.2,55,1,17.27,clear sky
209,Mogadishu,SO,2.0371,45.3438,75.78,84,80,17.87,light rain
210,Namibe,AO,-15.1961,12.1522,68.52,83,84,2.73,broken clouds
211,Kirakira,SB,-10.4544,161.9205,79.77,69,98,9.28,overcast clouds
212,Port Alfred,ZA,-33.5906,26.891,57.33,83,28,19.48,scattered clouds
213,Surazh,RU,53.0175,32.3918,58.14,94,18,11.14,few clouds
214,Malakal,SS,9.5334,31.6605,69.51,93,98,3.56,overcast clouds
215,Emerald,AU,-23.5333,148.1667,63.34,77,40,6.91,scattered clouds
216,Nichinan,JP,31.6,131.3667,79.75,83,49,5.77,scattered clouds
217,Hasanpur,IN,28.7167,78.2833,79.57,90,12,9.82,few clouds
218,Batie,BF,9.8833,-2.9167,74.91,75,90,4.5,overcast clouds
219,Namatanai,PG,-3.6667,152.4333,82.74,74,31,5.77,scattered clouds
220,Marrakesh,MA,31.6315,-8.0083,75.27,57,0,9.22,clear sky
221,Togur,RU,58.3631,82.8265,55.11,91,100,3.36,overcast clouds
222,Muros,ES,42.7762,-9.0603,61.99,81,84,7.56,broken clouds
223,Yakeshi,CN,49.2833,120.7333,62.42,78,37,3.49,scattered clouds
224,Clyde River,CA,70.4692,-68.5914,39.43,93,90,6.91,overcast clouds
